Date,Sac.cfs,SJR.cfs,Month,Year,Sub.group
1946-12-31T00:00:00Z,15121.77668873164,1554.7270396653419,12,1946,medlo
1947-01-31T00:00:00Z,10913.721121211007,1646.6911181756645,1,1947,lolo
1947-02-28T00:00:00Z,17589.13991946159,2039.9900887076035,2,1947,medmed
1947-03-31T00:00:00Z,17743.637275520716,2060.1932181097122,3,1947,medmed
1947-04-30T00:00:00Z,12968.301390200806,2470.07430034669,4,1947,lomed
1947-05-31T00:00:00Z,11601.023926901824,1970.7867379587203,5,1947,lolo
1947-06-30T00:00:00Z,13227.782508723407,1350.431823086347,6,1947,lolo
1947-12-31T00:00:00Z,7337.312199942003,1262.3544700785437,12,1947,lolo
1948-01-31T00:00:00Z,13243.572291594435,1462.556595432633,1,1948,lolo
1948-02-29T00:00:00Z,12802.21100408611,1732.0912032410727,2,1948,lolo
1948-03-31T00:00:00Z,15550.190326289923,2198.6193586868344,3,1948,medmed
1948-04-30T00:00:00Z,26205.209578375452,2462.105657495296,4,1948,himed
1948-05-31T00:00:00Z,27057.027923007947,1990.5051896050154,5,1948,himed
1948-06-30T00:00:00Z,12773.517695786031,1174.3360743900096,6,1948,lolo
1948-12-31T00:00:00Z,12954.160068522637,1190.017427248647,12,1948,lolo
1949-01-31T00:00:00Z,11870.511278107422,1495.40308237231,1,1949,lolo
1949-02-28T00:00:00Z,14584.334844845147,1759.861571191352,2,1949,medlo
1949-03-31T00:00:00Z,42865.06106589667,2205.975091358653,3,1949,himed
1949-04-30T00:00:00Z,15020.971678019492,2311.7752684807774,4,1949,medmed
1949-05-31T00:00:00Z,12608.242050993711,1825.6395017313998,5,1949,lolo
1949-06-30T00:00:00Z,14288.422169433841,1079.7310037934596,6,1949,medlo
1949-12-31T00:00:00Z,8132.870173721122,1176.7235847308805,12,1949,lolo
1950-01-31T00:00:00Z,24721.459217866122,1873.3400073705945,1,1950,medlo
1950-02-28T00:00:00Z,39051.05430498377,1933.316828414209,2,1950,hilo
1950-03-31T00:00:00Z,18559.375000097545,1998.3641039769811,3,1950,medmed
1950-04-30T00:00:00Z,16020.79552701095,2604.06531286476,4,1950,medmed
1950-05-31T00:00:00Z,14373.00610202852,2225.3737840161457,5,1950,medmed
1950-06-30T00:00:00Z,14018.0588676867,1388.0189161504659,6,1950,medlo
1950-12-31T00:00:00Z,76879.09891308319,16171.59454275923,12,1950,hihi
1951-01-31T00:00:00Z,58930.92637774886,9864.656111376436,1,1951,hihi
1951-02-28T00:00:00Z,61600.64277943583,7991.574210871538,2,1951,hihi
1951-03-31T00:00:00Z,29815.087407521445,5514.252369780976,3,1951,hihi
1951-04-30T00:00:00Z,11843.873501893268,6673.895399155301,4,1951,lohi
1951-05-31T00:00:00Z,11363.76620711162,4183.249750912438,5,1951,lohi
1951-06-30T00:00:00Z,14400.903239326102,2376.6253634896334,6,1951,medmed
1951-12-31T00:00:00Z,37454.81794661163,2854.5923861639185,12,1951,himed
1952-01-31T00:00:00Z,75869.6130715284,5240.565838538768,1,1952,hihi
1952-02-29T00:00:00Z,71886.46408209596,3813.5758684225334,2,1952,himed
1952-03-31T00:00:00Z,60762.303000268585,8763.027463302813,3,1952,hihi
1952-04-30T00:00:00Z,44054.71005487041,11607.77561228652,4,1952,hihi
1952-05-31T00:00:00Z,38135.56896019722,15843.718531066555,5,1952,hihi
1952-06-30T00:00:00Z,18624.69005183951,7851.715464802036,6,1952,medhi
1952-12-31T00:00:00Z,36623.45521379643,2472.277292344952,12,1952,himed
1953-01-31T00:00:00Z,66159.24152332451,3551.9396444268045,1,1953,himed
1953-02-28T00:00:00Z,24831.974144264095,3308.3238335280357,2,1953,himed
1953-03-31T00:00:00Z,19922.14106669523,3342.504844404117,3,1953,medmed
1953-04-30T00:00:00Z,20751.04363883729,3647.177724822838,4,1953,medmed
1953-05-31T00:00:00Z,18815.415789099592,3174.816663309441,5,1953,medmed
1953-06-30T00:00:00Z,17610.020892088236,1975.1212085565703,6,1953,medlo
1953-12-31T00:00:00Z,13074.260838549604,1319.3562511835898,12,1953,lolo
1954-01-31T00:00:00Z,26151.561762289453,1717.6078436279593,1,1954,hilo
1954-02-28T00:00:00Z,48419.92327496318,1970.9392696513637,2,1954,hilo
1954-03-31T00:00:00Z,34771.84508593083,2562.134122600446,3,1954,himed
1954-04-30T00:00:00Z,31895.732026524456,3843.7008325273287,4,1954,himed
1954-05-31T00:00:00Z,15810.896495349862,2775.3109981639095,5,1954,medmed
1954-06-30T00:00:00Z,13754.214476671157,1710.4994445448026,6,1954,medlo
1954-12-31T00:00:00Z,20320.060037598832,1394.0175088764388,12,1954,medlo
1955-01-31T00:00:00Z,18392.630558622408,1919.886055782954,1,1955,medlo
1955-02-28T00:00:00Z,13105.852090044204,2035.538906383566,2,1955,lomed
